"_","Id","Energy_Area__c","Meter_Number__c","MeterID__c"
"[Charging_Facility__c]","a239Y0000000YiRQAU","NO3","6970631401299421","707057500069212223"
"[Charging_Facility__c]","a239Y0000000YiSQAU","NO1","7359992906607273","707057500020629480"
"[Charging_Facility__c]","a239Y0000000YiTQAU","NO1","7359992906606931","707057500020663767"
"[Charging_Facility__c]","a239Y0000000YiUQAU","NO1","5706567329634726","707057500080789636"
"[Charging_Facility__c]","a239Y0000000YiVQAU","NO1","7359992907740931","707057500020665426"
"[Charging_Facility__c]","a239Y0000000YiWQAU","NO1","7359992907730574","707057500020665389"
"[Charging_Facility__c]","a239Y0000000YiXQAU","NO1","7359992907737283","707057500020665433"
"[Charging_Facility__c]","a239Y0000000YiYQAU","NO1","7359992907737177","707057500020665464"
"[Charging_Facility__c]","a239Y0000000YiZQAU","NO3","7359992933849332","707057500084800375"
"[Charging_Facility__c]","a239Y0000000YiaQAE","NO2","7359992920596676","707057500042473696"
"[Charging_Facility__c]","a239Y0000000YibQAE","NO2","7359992892882814","707057500042459089"
"[Charging_Facility__c]","a239Y0000000YicQAE","NO1","7359992907730635","707057500020665402"
"[Charging_Facility__c]","a239Y0000000YidQAE","NO1","7359992903542706","707057500057581058"
"[Charging_Facility__c]","a239Y0000000YieQAE","NO3","6970631407421918","707057500069231996"
"[Charging_Facility__c]","a239Y0000000YifQAE","NO3","6970631407422601","707057500069232009"
"[Charging_Facility__c]","a239Y0000000YigQAE","NO2","7359992905727637","707057500072084756"
"[Charging_Facility__c]","a239Y0000000YihQAE","NO1","7359992920163762","707057500057519815"
"[Charging_Facility__c]","a239Y0000000YiiQAE","NO1","7359992908790584","707057500057507904"
"[Charging_Facility__c]","a239Y0000000YijQAE","NO1","7359992909105004","707057500057522778"
"[Charging_Facility__c]","a239Y0000000YikQAE","NO1","7359992920961450","707057500020666713"
"[Charging_Facility__c]","a239Y0000000YilQAE","NO1","7359992893359469","707057500032883856"
"[Charging_Facility__c]","a239Y0000000YimQAE","NO3","6970631401349980","707057500029866961"
"[Charging_Facility__c]","a239Y0000000YinQAE","NO1","7359992907734848","707057500020663811"
"[Charging_Facility__c]","a239Y0000000YioQAE","NO1","5706567283412804","707057500080780282"
"[Charging_Facility__c]","a239Y0000000YipQAE","NO3","6970631406792507","707057500069188948"
"[Charging_Facility__c]","a239Y0000000YiqQAE","NO1","7359992908005732","707057500057513233"
"[Charging_Facility__c]","a239Y0000000YirQAE","NO3","6970631404673730","707057500069224196"
"[Charging_Facility__c]","a239Y0000000YisQAE","NO3","6970631401452789","707057500029866978"
"[Charging_Facility__c]","a239Y0000000YiuQAE","NO1","7359992927618869","707057500057702989"
"[Charging_Facility__c]","a239Y0000000YivQAE","NO1","7359992903574080","707057500020688814"
"[Charging_Facility__c]","a239Y0000000YiwQAE","NO2","7359992909439369","707057500072030821"
